koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,koi_disposition
0.672,0,1,0,0,1.330333096,2.82e-07,-2.82e-07,132.785555,0.000176,-0.000176,0.692,0.004,-0.002,5.045,0.015,-0.015,61900.0,127.0,-127.0,24.3,6.62,-2.36,1634.0,1691.25,1366.66,-495.34,700.5,1.0,5984.0,167.0,-209.0,4.521,0.048,-0.192,0.906,0.247,-0.088,294.96027,40.98698,15.423,0
1.0,0,0,0,0,8.01078456,1.06e-05,-1.06e-05,170.20739,0.00106,-0.00106,0.192,0.096,-0.192,2.312,0.0336,-0.0336,1330.0,29.3,-29.3,1.72,0.13,-0.2,453.0,9.9,2.52,-2.88,48.5,1.0,3713.0,74.0,-92.0,4.779,0.063,-0.031,0.47,0.036,-0.054,294.77393,43.056301,15.847,1
0.857,0,0,0,0,3.71545593,1.93e-05,-1.93e-05,169.78318,0.0044,-0.0044,0.327,0.124,-0.327,2.558,0.117,-0.117,332.0,19.0,-19.0,1.46,0.11,-0.09,1001.0,237.42,59.17,-44.2,19.6,4.0,5296.0,106.0,-106.0,4.538,0.044,-0.061,0.808,0.06,-0.049,295.76614,42.424278,15.956,1
0.997,0,0,0,0,66.6434565,0.000369,-0.000369,170.08058,0.00449,-0.00449,0.985,0.045,-0.754,2.385,0.18,-0.18,277.0,21.8,-21.8,2.99,0.62,-0.38,476.0,12.17,6.56,-3.4,14.8,1.0,5751.0,77.0,-77.0,4.339,0.1,-0.15,1.164,0.242,-0.149,290.9227,48.180328,13.224,2
0.0,1,0,1,0,396.048721,0.00643,-0.00643,471.22802,0.00819,-0.00819,0.978,0.798,-0.026,16.376,0.545,-0.545,932.0,29.2,-29.2,13.52,2.73,-4.11,370.0,4.43,2.72,-2.54,39.4,1.0,5327.0,148.0,-167.0,3.643,0.198,-0.162,2.882,0.583,-0.875,288.72742,42.121441,12.992,0
0.96,0,0,0,0,22.2508509,0.000137,-0.000137,149.43326,0.00506,-0.00506,0.771,0.18,-0.545,1.745,0.166,-0.166,619.0,64.0,-64.0,2.07,0.15,-0.11,539.0,20.01,4.7,-3.53,11.4,2.0,5307.0,105.0,-105.0,4.572,0.041,-0.054,0.757,0.052,-0.042,295.8941,42.380451,15.996,1
0.953,0,0,0,0,54.31996151,3.39e-05,-3.39e-05,161.239869,0.000503,-0.000503,0.497,0.005,-0.357,8.5858,0.0243,-0.0243,1980.0,7.2,-7.2,6.07,1.11,-0.91,584.0,27.4,13.75,-9.25,291.3,2.0,6181.0,111.0,-135.0,4.234,0.143,-0.117,1.331,0.243,-0.199,297.33307,41.891121,12.205,1
0.744,0,0,0,0,24.5041103,0.000659,-0.000659,140.1805,0.0196,-0.0196,0.178,0.295,-0.178,6.065,0.432,-0.432,120.0,12.3,-12.3,1.03,0.19,-0.12,574.0,25.59,13.03,-6.77,11.3,1.0,5250.0,86.0,-78.0,4.404,0.098,-0.14,0.962,0.182,-0.112,290.09427,41.742779,14.375,2
0.763,0,0,0,0,2.61090223,2.11e-05,-2.11e-05,133.25501,0.00768,-0.00768,0.813,0.01,-0.578,1.976,0.201,-0.201,223.0,24.8,-24.8,1.8,0.27,-0.25,1323.0,724.16,289.86,-214.61,10.7,2.0,5514.0,74.0,-74.0,4.345,0.132,-0.108,1.071,0.163,-0.148,299.16953,43.44109,15.829,2
1.0,0,0,0,0,3.024092505,2.25e-07,-2.25e-07,132.4168573,6.22e-05,-6.22e-05,0.424,0.031,-0.046,2.8021,0.0103,-0.0103,7770.0,8.6,-8.6,12.14,0.79,-0.95,1489.0,1162.54,252.01,-267.02,1225.3,1.0,6063.0,108.0,-145.0,4.261,0.055,-0.045,1.358,0.088,-0.107,285.24084,46.668251,13.958,1
1.0,0,0,0,0,1.570592397,1.6e-06,-1.6e-06,131.530377,0.000812,-0.000812,0.031,0.438,-0.031,0.623,0.0466,-0.0466,214.0,9.2,-9.2,1.37,0.14,-0.15,1480.0,1135.98,325.72,-284.9,29.7,1.0,5519.0,83.0,-74.0,4.431,0.108,-0.072,0.921,0.093,-0.102,296.50354,47.486919,13.14,2
1.0,0,0,0,0,6.05729966,1.79e-05,-1.79e-05,135.92756,0.00236,-0.00236,0.219,0.248,-0.219,3.7419,0.0742,-0.0742,385.0,11.8,-11.8,1.94,0.21,-0.26,947.0,189.98,58.52,-55.9,35.1,1.0,5334.0,79.0,-79.0,4.372,0.132,-0.077,1.004,0.111,-0.135,299.12753,47.59383,14.678,1
1.0,0,0,0,0,10.3108232,0.000107,-0.000107,141.5114,0.00748,-0.00748,0.129,0.321,-0.129,5.617,0.222,-0.222,204.0,17.1,-17.1,1.27,0.36,-0.13,786.0,90.1,76.46,-24.86,14.0,1.0,5708.0,152.0,-169.0,4.521,0.05,-0.2,0.893,0.259,-0.086,288.11606,42.440418,15.619,1
